Main Serial No.,Sr. No.,College Name,College Code,Merit No,Merit Marks,Gender,Candidate Type,Category,Home University,PH Type,Defence Type,HSC Eligibility,Seat Type,Fees Paid,CAP Round,Admitted/Uploaded Late,BRANCH,NATIONALITY
29,29,"AISSMS,Pune",6278,34702,66.8339841,M,TYPE A,OPEN,PUNE,NA,NA,62,GOPENH,107008,ROUND-2,NO,CHEMICAL,INDIAN
30,30,"AISSMS,Pune",6278,39223,63.5199109,M,TYPE D,OPEN,PUNE,NA,NA,76,GOPENH,107008,ROUND-2,NO,CHEMICAL,INDIAN
31,31,"AISSMS,Pune",6278,23672,76.2353818,M,TYPE A,NT-C,SHIVAJI,NA,NA,64.33,GOPENO,13462,ROUND-2,NO,CHEMICAL,INDIAN
32,32,"AISSMS,Pune",6278,54100,53.59559332,M,TYPE A,NT-D,PUNE,NA,NA,58,GSTH,13462,ROUND-2,NO,CHEMICAL,INDIAN
33,33,"AISSMS,Pune",6278,57590,51.47600089,M,TYPE A,NT-C,PUNE,NA,NA,51.67,GSTH,13462,ROUND-2,NO,CHEMICAL,INDIAN
34,34,"AISSMS,Pune",6278,63033,48.13918919,M,TYPE A,OBC,PUNE,NA,NA,57.67,GVJH,60235,ROUND-2,NO,CHEMICAL,INDIAN
35,35,"AISSMS,Pune",6278,58926,50.65343531,F,TYPE A,OBC,PUNE,NA,NA,68,LOBCH,60235,ROUND-2,NO,CHEMICAL,INDIAN
36,36,"AISSMS,Pune",6278,40242,62.82143697,F,TYPE A,OBC,AMRAVATI,NA,NA,66,LOBCO,107008,ROUND-2,NO,CHEMICAL,INDIAN
37,37,"AISSMS,Pune",6278,25599,74.47588193,F,TYPE A,SC,PUNE,NA,NA,65.67,LOPENH,13462,ROUND-2,NO,CHEMICAL,INDIAN
38,38,"AISSMS,Pune",6278,49592,56.45343636,F,TYPE A,OPEN,PUNE,NA,NA,57,LOPENH,107008,COUNSELING ROUND,NO,CHEMICAL,INDIAN
39,39,"AISSMS,Pune",6278,81748,35.48452344,M,TYPE A,SC,PUNE,NA,NA,48.33,LSCH,13462,COUNSELING ROUND,NO,CHEMICAL,INDIAN
40,40,"AISSMS,Pune",6278,46914,58.19796342,F,TYPE A,OPEN,NAGPUR,NA,NA,82,GOPEN,97008,COUNSELING ROUND,NO,CHEMICAL,INDIAN
41,41,"AISSMS,Pune",6278,55976,52.3943279,M,TYPE A,OBC,AMRAVATI,NA,NA,48.33,GOPEN,50235,COUNSELING ROUND,NO,CHEMICAL,INDIAN
42,42,"AISSMS,Pune",6278,65677,46.52579547,M,TYPE A,OBC,S.R.T.M.U.,NA,NA,62.67,GOPEN,0,COUNSELING ROUND,NO,CHEMICAL,INDIAN
43,43,"AISSMS,Pune",6278,66047,46.27926234,F,TYPE A,OBC,AMRAVATI,NA,NA,72.67,GOPEN,50235,COUNSELING ROUND,NO,CHEMICAL,INDIAN
44,44,"AISSMS,Pune",6278,70357,43.46373444,M,TYPE A,OPEN,PUNE,NA,NA,65.83,GOPEN,107008,COUNSELING ROUND,NO,CHEMICAL,INDIAN
45,45,"AISSMS,Pune",6278,70667,43.27263868,M,TYPE A,OPEN,PUNE,NA,NA,58,GOPEN,97008,COUNSELING ROUND,NO,CHEMICAL,INDIAN
46,46,"AISSMS,Pune",6278,76998,39.04519231,M,TYPE A,OBC,NORTH MAHARASHTRA,NA,NA,64.67,GOPEN,50235,COUNSELING ROUND,NO,CHEMICAL,INDIAN
47,47,"AISSMS,Pune",6278,84784,33.07975873,F,TYPE A,OBC,AMRAVATI,NA,NA,49.33,GOPEN,50235,COUNSELING ROUND,NO,CHEMICAL,INDIAN
48,48,"AISSMS,Pune",6278,87078,30.94996939,F,TYPE A,OPEN,PUNE,NA,DEF3,50,GOPEN,97008,COUNSELING ROUND,NO,CHEMICAL,INDIAN
49,49,"AISSMS,Pune",6278,87271,30.82505906,F,TYPE A,OPEN,PUNE,NA,NA,59.17,GOPEN,97008,COUNSELING ROUND,NO,CHEMICAL,INDIAN
50,50,"AISSMS,Pune",6278,95579,19.09883357,M,TYPE A,NT-D,PUNE,NA,NA,56.67,GOPEN,3462,COUNSELING ROUND,NO,CHEMICAL,INDIAN
51,1,"AISSMS,Pune",6278,4,54.11929716,M,J&K SPECIAL SCHOLARSHIP SCHEME CANDIDATE,OPEN,OHU,NA,NA,52.33,ACAP,27108,INSTITUTE LEVEL,NO,CHEMICAL,J&K
52,2,"AISSMS,Pune",6278,7,74.68844589,M,TYPE A,OPEN,PUNE,NA,NA,57.67,ACAP,107008,INSTITUTE LEVEL,NO,CHEMICAL,INDIAN
53,3,"AISSMS,Pune",6278,4,81.6,M,TYPE A,ST,PUNE,NA,NA,63.33,ACAP,107008,INSTITUTE LEVEL,NO,CHEMICAL,INDIAN
54,4,"AISSMS,Pune",6278,11,53.6,M,TYPE A,OBC,PUNE,NA,NA,48.33,ACAP,107008,INSTITUTE LEVEL,NO,CHEMICAL,INDIAN
55,1,"AISSMS,Pune",6278,5,69.14848336,M,TYPE A,OPEN,PUNE,NA,NA,52,IL,50000,INSTITUTE LEVEL,NO,CHEMICAL,INDIAN
56,2,"AISSMS,Pune",6278,46,41.57982751,M,TYPE A,OPEN,PUNE,NA,NA,65.67,IL,106508,INSTITUTE LEVEL,NO,CHEMICAL,INDIAN
57,3,"AISSMS,Pune",6278,50,69.22834366,F,OMS,OPEN,OHU,NA,NA,86.67,IL,107508,INSTITUTE LEVEL,NO,CHEMICAL,INDIAN
58,4,"AISSMS,Pune",6278,80,57.90890924,M,OMS,OPEN,OHU,NA,NA,71.67,IL,106508,INSTITUTE LEVEL,NO,CHEMICAL,INDIAN
59,5,"AISSMS,Pune",6278,97,42.59391226,M,TYPE A,OPEN,PUNE,NA,NA,65,IL,106508,INSTITUTE LEVEL,NO,CHEMICAL,INDIAN
60,6,"AISSMS,Pune",6278,100,39.7553335,M,TYPE A,OPEN,PUNE,NA,NA,58.67,IL,107008,INSTITUTE LEVEL,NO,CHEMICAL,INDIAN
61,1,"AISSMS,Pune",6278,13688,86.3204,M,TYPE A,OBC,NORTH MAHARASHTRA,NA,NA,74,GOPENO,3462,ROUND 1,NO,CHEMICAL,INDIAN
62,2,"AISSMS,Pune",6278,15080,84.847,F,TYPE A,OPEN,PUNE,NA,NA,82.33,GOPENO,13462,ROUND 1,NO,CHEMICAL,INDIAN
63,3,"AISSMS,Pune",6278,15934,83.9686,M,TYPE A,OPEN,SOLAPUR,NA,NA,65.33,GOPENO,13462,ROUND 1,NO,CHEMICAL,INDIAN
64,1,"AISSMS,Pune",6278,14102,17.6424,M,TYPE A,OBC,NORTH MAHARASHTRA,NA,NA,81.33,AI,60235,ROUND 1,NO,CIVIL,INDIAN
65,2,"AISSMS,Pune",6278,14779,19,M,TYPE A,OPEN,PUNE,NA,NA,72.67,AI,107008,ROUND 1,NO,CIVIL,INDIAN
66,3,"AISSMS,Pune",6278,15342,19.3111,F,OMS,NA,OHU,NA,NA,91.33,AI,107008,ROUND 1,NO,CIVIL,INDIAN
67,4,"AISSMS,Pune",6278,16705,21.1691,M,TYPE A,OPEN,S.R.T.M.U.,NA,NA,78.33,AI,107008,ROUND 1,NO,CIVIL,INDIAN
68,5,"AISSMS,Pune",6278,16851,21.3906,M,TYPE A,SBC,AMRAVATI,NA,NA,65.67,AI,13462,ROUND 1,NO,CIVIL,INDIAN
69,6,"AISSMS,Pune",6278,17120,21.7048,M,TYPE A,OPEN,B.A.M.U.,NA,NA,81,AI,107008,ROUND 1,NO,CIVIL,INDIAN
70,7,"AISSMS,Pune",6278,17127,21.7098,F,TYPE A,OPEN,PUNE,NA,NA,83.67,AI,107008,ROUND 1,NO,CIVIL,INDIAN
71,8,"AISSMS,Pune",6278,17899,22.7315,M,TYPE A,OPEN,MUMBAI,NA,NA,74.33,AI,107008,ROUND 1,NO,CIVIL,INDIAN
72,9,"AISSMS,Pune",6278,18615,23.6541,M,TYPE A,SBC,SHIVAJI,NA,NA,82.5,AI,13462,ROUND 1,NO,CIVIL,INDIAN
73,10,"AISSMS,Pune",6278,28504,71.8918,M,TYPE A,OPEN,B.A.M.U.,NA,DEF1,75,DEFO,107008,ROUND 1,NO,CIVIL,INDIAN
74,11,"AISSMS,Pune",6278,26487,73.6581,M,TYPE A,NT-C,S.R.T.M.U.,NA,NA,56.83,GNT2O,13462,ROUND 1,NO,CIVIL,INDIAN
75,12,"AISSMS,Pune",6278,31043,69.7938,M,TYPE A,NT-D,PUNE,NA,NA,69.67,GNT3H,13462,ROUND 1,NO,CIVIL,INDIAN
76,13,"AISSMS,Pune",6278,22379,77.4871,M,TYPE A,OBC,PUNE,NA,NA,69,GOBCH,60235,ROUND 1,NO,CIVIL,INDIAN
77,14,"AISSMS,Pune",6278,22595,77.2915,M,TYPE A,OBC,PUNE,NA,NA,76.33,GOBCH,60235,ROUND 1,NO,CIVIL,INDIAN
78,15,"AISSMS,Pune",6278,23978,76.1559,M,TYPE A,OBC,PUNE,NA,NA,67.67,GOBCH,60235,ROUND 1,NO,CIVIL,INDIAN
79,16,"AISSMS,Pune",6278,26620,73.5256,M,TYPE A,OBC,PUNE,NA,NA,85.83,GOBCH,60235,ROUND 1,NO,CIVIL,INDIAN
80,17,"AISSMS,Pune",6278,26914,73.2433,M,TYPE A,OBC,PUNE,NA,NA,58,GOBCH,60235,ROUND 1,NO,CIVIL,INDIAN
81,18,"AISSMS,Pune",6278,26999,73.1822,M,TYPE A,OBC,PUNE,NA,NA,67.67,GOBCH,60235,ROUND 1,NO,CIVIL,INDIAN
82,19,"AISSMS,Pune",6278,17779,82.0816,M,TYPE A,OBC,AMRAVATI,NA,NA,75.67,GOBCO,60235,ROUND 1,NO,CIVIL,INDIAN
83,20,"AISSMS,Pune",6278,21210,78.5967,M,TYPE B,OBC,SOLAPUR,NA,NA,89,GOBCO,60235,ROUND 1,NO,CIVIL,INDIAN
84,21,"AISSMS,Pune",6278,21630,78.1553,M,TYPE B,OBC,GONDWANA,NA,NA,90.89,GOBCO,107008,ROUND 1,NO,CIVIL,INDIAN
85,22,"AISSMS,Pune",6278,15334,84.612,M,TYPE A,OPEN,PUNE,NA,NA,64.67,GOPENH,107008,ROUND 1,NO,CIVIL,INDIAN
86,23,"AISSMS,Pune",6278,15655,84.2925,M,TYPE A,OBC,PUNE,NA,NA,70.67,GOPENH,60235,ROUND 1,NO,CIVIL,INDIAN
87,24,"AISSMS,Pune",6278,15680,84.2577,M,TYPE A,OPEN,PUNE,NA,NA,69.67,GOPENH,107008,ROUND 1,NO,CIVIL,INDIAN
88,25,"AISSMS,Pune",6278,18281,81.581,M,TYPE A,OPEN,PUNE,NA,NA,66.33,GOPENH,107008,ROUND 1,NO,CIVIL,INDIAN
89,26,"AISSMS,Pune",6278,18344,81.5267,M,TYPE A,OPEN,PUNE,NA,NA,76.83,GOPENH,107008,ROUND 1,NO,CIVIL,INDIAN
90,27,"AISSMS,Pune",6278,18558,81.2897,M,TYPE A,OBC,PUNE,NA,NA,62.33,GOPENH,60235,ROUND 1,NO,CIVIL,INDIAN
91,28,"AISSMS,Pune",6278,18895,80.9217,M,TYPE A,OPEN,PUNE,NA,NA,70.67,GOPENH,107008,ROUND 1,NO,CIVIL,INDIAN
92,29,"AISSMS,Pune",6278,19703,80.1014,M,TYPE A,OPEN,PUNE,NA,NA,66,GOPENH,107008,ROUND 1,NO,CIVIL,INDIAN
93,30,"AISSMS,Pune",6278,20127,79.6837,M,TYPE A,OPEN,PUNE,NA,NA,56,GOPENH,0,ROUND 1,NO,CIVIL,INDIAN
94,31,"AISSMS,Pune",6278,21294,78.4936,M,TYPE A,OBC,PUNE,NA,NA,63.33,GOPENH,13462,ROUND 1,NO,CIVIL,INDIAN
95,32,"AISSMS,Pune",6278,14032,35.9523,M,TYPE A,NT-C,SHIVAJI,NA,NA,68.5,GOPENO,107008,ROUND 1,NO,CIVIL,INDIAN
96,33,"AISSMS,Pune",6278,14752,35.2156,M,TYPE A,NT-D,S.R.T.M.U.,NA,NA,69.67,GOPENO,13462,ROUND 1,NO,CIVIL,INDIAN
97,34,"AISSMS,Pune",6278,16823,83.0403,M,TYPE A,OPEN,S.R.T.M.U.,NA,NA,71.67,GOPENO,107008,ROUND 1,NO,CIVIL,INDIAN
98,35,"AISSMS,Pune",6278,17019,82.8161,M,TYPE A,OPEN,SHIVAJI,NA,NA,78.33,GOPENO,107008,ROUND 1,NO,CIVIL,INDIAN
99,36,"AISSMS,Pune",6278,17217,82.6306,M,TYPE A,OBC,NORTH MAHARASHTRA,NA,NA,73.67,GOPENO,60235,ROUND 1,NO,CIVIL,INDIAN
100,37,"AISSMS,Pune",6278,17228,82.6268,M,TYPE A,OPEN,B.A.M.U.,NA,NA,64.67,GOPENO,107008,ROUND 1,NO,CIVIL,INDIAN
101,38,"AISSMS,Pune",6278,39280,63.4955,M,TYPE A,SC,PUNE,NA,NA,65.33,GSCH,13462,ROUND 1,NO,CIVIL,INDIAN
102,39,"AISSMS,Pune",6278,46251,58.719,M,TYPE A,SC,PUNE,NA,NA,51.33,GSCH,13462,ROUND 1,NO,CIVIL,INDIAN
103,40,"AISSMS,Pune",6278,48958,56.8471,M,TYPE A,SC,PUNE,NA,NA,63.67,GSCH,13462,ROUND 1,NO,CIVIL,INDIAN
104,41,"AISSMS,Pune",6278,54457,53.3715,M,TYPE A,SC,PUNE,NA,NA,48.67,GSCH,13462,ROUND 1,NO,CIVIL,INDIAN
105,42,"AISSMS,Pune",6278,54702,53.2482,M,TYPE A,SC,PUNE,NA,NA,51.33,GSCH,13462,ROUND 1,NO,CIVIL,INDIAN
106,43,"AISSMS,Pune",6278,27771,72.5028,M,TYPE A,SC,S.R.T.M.U.,NA,NA,58.67,GSCO,13462,ROUND 1,NO,CIVIL,INDIAN
107,44,"AISSMS,Pune",6278,62435,48.5387,M,TYPE A,ST,PUNE,NA,NA,56.67,GSTH,13462,ROUND 1,NO,CIVIL,INDIAN
108,45,"AISSMS,Pune",6278,66770,45.8284,M,TYPE A,ST,PUNE,NA,NA,61.33,GSTH,13462,ROUND 1,NO,CIVIL,INDIAN
109,46,"AISSMS,Pune",6278,39024,53.6835,M,TYPE A,ST,NORTH MAHARASHTRA,NA,NA,83,GSTO,13462,ROUND 1,NO,CIVIL,INDIAN
110,47,"AISSMS,Pune",6278,65726,46.4838,F,TYPE A,DT/VJ,PUNE,NA,NA,51,GVJH,13462,ROUND 1,NO,CIVIL,INDIAN
111,48,"AISSMS,Pune",6278,79531,37.1579,M,TYPE A,DT/VJ,PUNE,NA,NA,53.33,GVJH,13462,ROUND 1,NO,CIVIL,INDIAN
112,49,"AISSMS,Pune",6278,53316,54.1021,F,TYPE A,NT-C,PUNE,NA,NA,65.67,LNT2H,13462,ROUND 1,NO,CIVIL,INDIAN
113,50,"AISSMS,Pune",6278,37714,64.58,F,TYPE A,OBC,PUNE,NA,NA,68.67,LOBCH,60235,ROUND 1,NO,CIVIL,INDIAN
114,51,"AISSMS,Pune",6278,41415,61.9701,F,TYPE A,OBC,PUNE,NA,NA,63.67,LOBCH,60235,ROUND 1,NO,CIVIL,INDIAN
115,52,"AISSMS,Pune",6278,41748,61.7087,F,TYPE A,OBC,PUNE,NA,NA,63.33,LOBCH,60235,ROUND 1,NO,CIVIL,INDIAN
116,53,"AISSMS,Pune",6278,20948,78.8519,F,TYPE A,OPEN,PUNE,NA,NA,69,LOPENH,27000,ROUND 1,NO,CIVIL,INDIAN
117,54,"AISSMS,Pune",6278,32230,68.7982,F,TYPE A,SC,PUNE,NA,NA,71.83,LOPENH,13462,ROUND 1,NO,CIVIL,INDIAN
118,55,"AISSMS,Pune",6278,32641,68.4655,F,TYPE A,NT-D,PUNE,NA,NA,64,LOPENH,13462,ROUND 1,NO,CIVIL,INDIAN
119,56,"AISSMS,Pune",6278,35207,66.458,F,TYPE A,OBC,PUNE,NA,NA,56.67,LOPENH,30235,ROUND 1,NO,CIVIL,INDIAN
120,57,"AISSMS,Pune",6278,87101,30.9343,F,TYPE A,SC,PUNE,NA,NA,53.67,LSCH,13462,ROUND 1,NO,CIVIL,INDIAN
121,58,"AISSMS,Pune",6278,87530,34.257,F,TYPE A,SC,PUNE,NA,NA,47.33,LSCH,13462,ROUND 1,NO,CIVIL,INDIAN
122,59,"AISSMS,Pune",6278,34286,67.1617,F,TYPE A,SC,NAGPUR,NA,NA,61.33,LSCO,0,ROUND 1,NO,CIVIL,INDIAN
123,60,"AISSMS,Pune",6278,90592,27.2444,F,TYPE A,ST,PUNE,NA,NA,60.33,LSTH,13462,ROUND 1,NO,CIVIL,INDIAN
124,61,"AISSMS,Pune",6278,12830,16.0393,F,TYPE A,SBC,AMRAVATI,NA,NA,92.17,AI,13462,ROUND 2,NO,CIVIL,INDIAN
125,62,"AISSMS,Pune",6278,15332,19.3038,M,TYPE A,OPEN,NAGPUR,NA,NA,87.17,AI,107008,ROUND 2,NO,CIVIL,INDIAN
126,63,"AISSMS,Pune",6278,15401,19.4148,M,TYPE A,OPEN,B.A.M.U.,NA,NA,76.83,AI,50000,ROUND 2,NO,CIVIL,INDIAN
127,64,"AISSMS,Pune",6278,18010,22.8812,M,OMS,NA,OHU,NA,NA,83.11,AI,107508,ROUND 2,NO,CIVIL,INDIAN
128,65,"AISSMS,Pune",6278,18017,22.8947,M,TYPE A,OBC,S.R.T.M.U.,NA,NA,71.5,AI,60235,ROUND 2,NO,CIVIL,INDIAN
129,66,"AISSMS,Pune",6278,67390,45.42353383,M,TYPE A,NT-B,PUNE,NA,NA,58,GNT1H,13462,ROUND 2,NO,CIVIL,INDIAN
130,67,"AISSMS,Pune",6278,44899,59.5616911,M,TYPE A,NT-C,PUNE,NA,NA,81.33,GNT2H,107008,ROUND 2,NO,CIVIL,INDIAN
131,68,"AISSMS,Pune",6278,25542,74.53779397,M,TYPE A,OBC,PUNE,NA,DEF 1,83,GOBCH,60235,ROUND 2,NO,CIVIL,INDIAN
132,69,"AISSMS,Pune",6278,21628,78.16604837,M,TYPE A,OBC,SHIVAJI,NA,NA,60,GOBCO,60235,ROUND 2,NO,CIVIL,INDIAN
133,70,"AISSMS,Pune",6278,18738,81.09257619,M,TYPE A,OPEN,PUNE,NA,NA,72.67,GOPENH,107008,ROUND 2,NO,CIVIL,INDIAN
134,71,"AISSMS,Pune",6278,20267,79.51321039,M,TYPE A,NT-D,PUNE,NA,NA,67.33,GOPENH,13462,ROUND 2,NO,CIVIL,INDIAN
135,72,"AISSMS,Pune",6278,22035,77.79726715,M,TYPE A,OPEN,PUNE,NA,NA,72.5,GOPENH,107008,ROUND 2,NO,CIVIL,INDIAN
136,73,"AISSMS,Pune",6278,22130,77.70935298,M,TYPE A,OPEN,PUNE,NA,NA,64.67,GOPENH,107008,ROUND 2,NO,CIVIL,INDIAN
137,74,"AISSMS,Pune",6278,67838,45.12995906,F,TYPE A,NT-B,NORTH MAHARASHTRA,NA,NA,64.33,LNT1O,13462,ROUND 2,NO,CIVIL,INDIAN
138,75,"AISSMS,Pune",6278,37384,64.81275536,F,TYPE A,OBC,NORTH MAHARASHTRA,NA,NA,53.33,LOBCO,60235,ROUND 2,NO,CIVIL,INDIAN
139,76,"AISSMS,Pune",6278,22986,76.89909789,F,TYPE A,SC,PUNE,NA,NA,67.33,LOPENH,13462,ROUND 2,NO,CIVIL,INDIAN
140,77,"AISSMS,Pune",6278,26822,73.33597597,F,TYPE A,OPEN,PUNE,NA,NA,82.17,LOPENH,107708,ROUND 2,NO,CIVIL,INDIAN
141,78,"AISSMS,Pune",6278,25885,74.24146612,F,TYPE A,OPEN,SHIVAJI,NA,NA,70.33,LOPENO,107008,ROUND 2,NO,CIVIL,INDIAN
142,79,"AISSMS,Pune",6278,34749,66.81083077,F,TYPE A,OBC,AMRAVATI,NA,NA,69.67,LOPENO,60235,ROUND 2,NO,CIVIL,INDIAN
143,80,"AISSMS,Pune",6278,82201,35.16325489,M,TYPE A,ST,PUNE,NA,NA,58.67,LSTH,13462,ROUND 2,NO,CIVIL,INDIAN
144,81,"AISSMS,Pune",6278,39379,63.44125782,M,TYPE A,ST,B.A.M.U.,NA,NA,53.17,LSTO,13462,ROUND 2,NO,CIVIL,INDIAN
145,82,"AISSMS,Pune",6278,25468,74.62853796,M,TYPE A,OPEN,PUNE,NA,NA,58.67,PH1H,107008,ROUND 2,NO,CIVIL,INDIAN
146,83,"AISSMS,Pune",6278,26060,74.06860063,M,TYPE A,OPEN,PUNE,NA,NA,65.67,PH2H,107008,ROUND 2,NO,CIVIL,INDIAN
147,84,"AISSMS,Pune",6278,27520,72.73404724,M,TYPE A,OPEN,PUNE,NA,NA,71,PHCH,107008,ROUND 2,NO,CIVIL,INDIAN
148,85,"AISSMS,Pune",6278,26928,73.24328453,M,TYPE A,OPEN,NORTH MAHARASHTRA,NA,NA,59.67,GOPEN,40000,COUNSELING ROUND,NO,CIVIL,INDIAN
149,86,"AISSMS,Pune",6278,28251,72.1189543,M,TYPE A,OBC,NORTH MAHARASHTRA,NA,NA,66,GOPEN,50235,COUNSELING ROUND,NO,CIVIL,INDIAN
150,87,"AISSMS,Pune",6278,29072,71.41644633,M,TYPE A,OBC,AMRAVATI,NA,NA,77.33,GOPEN,0,COUNSELING ROUND,NO,CIVIL,INDIAN
151,88,"AISSMS,Pune",6278,29751,70.82047021,M,TYPE C,OPEN,PUNE,NA,NA,75.33,GOPEN,70000,COUNSELING ROUND,NO,CIVIL,INDIAN
152,89,"AISSMS,Pune",6278,31708,69.24546508,M,TYPE A,OPEN,AMRAVATI,NA,NA,64.33,GOPEN,0,COUNSELING ROUND,NO,CIVIL,INDIAN
153,90,"AISSMS,Pune",6278,32037,68.95921804,M,TYPE A,OBC,AMRAVATI,NA,NA,70.67,GOPEN,48508,COUNSELING ROUND,NO,CIVIL,INDIAN
154,91,"AISSMS,Pune",6278,32426,68.63585599,M,TYPE A,OPEN,PUNE,NA,NA,60.33,GOPEN,0,COUNSELING ROUND,NO,CIVIL,INDIAN
155,92,"AISSMS,Pune",6278,34210,67.23468866,M,TYPE A,OPEN,SHIVAJI,NA,NA,60.33,GOPEN,97008,COUNSELING ROUND,NO,CIVIL,INDIAN
156,1,"AISSMS,Pune",6278,106,31.58472058,M,OMS,OPEN,OHU,NA,NA,57.33,ACAP,107008,INSTITUTE LEVEL,NO,CIVIL,INDIAN
157,2,"AISSMS,Pune",6278,109,26.41947419,M,TYPE A,SC,AMRAVATI,NA,NA,50.33,ACAP,106508,INSTITUTE LEVEL,NO,CIVIL,INDIAN
158,1,"AISSMS,Pune",6278,12,26.49025528,M,TYPE A,OBC,PUNE,NA,NA,49.67,IL,106508,INSTITUTE LEVEL,NO,CIVIL,INDIAN
